"slug","refInterna","nome","concelho","estado","promotor","tipologias","conclusaoAno","conclusaoMes","conclusao","preco_m2","precoPedido","notas","link","lat","lng","isEmpreendimento","docs","ownerNome","ownerTelefone","ownerTelemovel","contactos"
"apa53217---meneres-777","","APA_53217 - MENÉRES 777","MATOSINHOS","em_construcao","MCAETANO","T1 a T4","2028","9","2028","","","Apartamentos T1 a T4","https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t2-a-t4-em-empreendimento-de-arquitetura-sofisticada-em-matosinhos-porto/23231296","41.179078","-8.68319","1","[]","","","",""
"antas-prime","","ANTAS PRIME","PORTO","em_construcao","MÁRIO ALMEIDA","T1 a T4","2026","12","2026","","","CONCLUSÃO FINAL DE 2026","https://s.craft.me/XqY1fUXgJa1I53","41.16054183295912","-8.585580295037614","1","[]","","","",""
"apa53418---vc-forte","","APA_53418 - VC FORTE","VILA DO CONDE","em_construcao","FERCOPOR","T0 / T1 / T2 / T3 / T4","2028","6","2028","","","Neste momento só existem T2 e T3 no RC que é elevado
Escrituras Junho 2028","https://27006740.hs-sites-eu1.com/pt/fercopor-projetos-comercialização?utm_medium=email&_hsenc=p2ANqtz-9iwfACfUwXKwn2m6lP1DmD3CvsQv9ooX3B4mNDzj3xZ5JoX0FcIOp3n9v4GVcAdYrdsLavk_Ntc5BXqVCbdCUKEN_FJ7xSWxQ74ScOXBzQoLZmj2A&_hsmi=121601192&utm_content=121601192&utm_source=hs_email","41.34337951168891","-8.750900385790908","1","[]","","","",""
"apa53412---foliage","","APA_53412 - FOLIAGE","PORTO","em_construcao","FERCOPOR","T2 / T3 / T4","2028","12","2028","","","Apartamentos T3/T4
Conclusão Inicio 2028","https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t1-a-t4-em-empreendimento-na-foz-porto/23409581","41.16061301566964","-8.673432579455456","1","[]","","","",""
"apa53674---raiz","","APA_53674 - RAÍZ","PORTO","em_construcao","FERCOPOR","T1 / T2 / T3 / T4","2028","12","2028","","","Apartamentos T2/T3/T4
Conclusão Setembro 2028","https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t1-a-t4-em-empreendimento-na-avenida-da-boavista-porto/24010217","41.16458988957599","-8.670498322071996","1","[]","","","",""
"apa53551---the-avenue","","APA_53551 - THE AVENUE","PORTO","em_construcao","NORTH PROPERTIES","T2 | T3 | T4","2026","4","2026","","","Apartamentos T2/T3/T4
Conclusão 1º trimestre 2026","https://www.garveturproperties.com/imoveis?ref=APA_53551","41.16521362846466","-8.59755387983526","1","[]","","","",""
"apa53570---the-view-i","","APA_53570 - THE VIEW I","GONDOMAR","em_construcao","NORTH PROPERTIES","T3 / T4","2027","8","2027","","","Apartamentos T3
Conclusão 2º Trimestre 2027","https://www.garveturproperties.com/imoveis?ref=APA_53570","41.13823767440179","-8.570998603252303","1","[]","","","",""
"apa52847---avenida-premium","","APA_52847 - AVENIDA PREMIUM","VILA NOVA DE GAIA","concluido","MS-Group","T2 | T3","2025","12","2025","","","Apartamentos T2/T3
CONCLUSÃO FINAL DE 2025","https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t1-a-t3-1-em-empreendimento-premium-em-excelente-localizacao-urbana-vila-nova-de-gaia/21695223","41.11687076428396","-8.60676265928301","1","[]","","","",""
"apa53578---bosk","","APA_53578 - BOSK","GONDOMAR","licenciado","NORTH PROPERTIES","T2 / T3","2028","12","2028","","","Apartamentos T2 e T3
Só está internamente porque não temos certificados energéticos","https://s.craft.me/3avl2BZlpAiF6t","41.13344697492787","-8.537099324342659","1","[]","","","",""
"apa53396---gramoinhos","","APA_53396 - GRAMOINHOS","VILA NOVA DE GAIA","em_construcao","NOSSO CAPITAL","T1 / T2","2026","12","2026","","","Apartamentos T2
Conclusão último Trimestre de 2026
Só está internamente não permitem exportar","https://nossocapital.pt","41.108807119835845","-8.622940960507071","1","[]","","","",""
"apa53387---madalena-vista-mar","","APA_53387 - MADALENA VISTA MAR","VILA NOVA DE GAIA","licenciado","NOSSO CAPITAL","T1 / T2 / T3","2029","12","2029","","","Apartamentos T2 e T3
Só está Internamente, promotor não deixa exportar","https://nossocapital.pt","41.10759126658638","-8.654901852935241","1","[]","","","",""
"herdade-de-vilar","","HERDADE DE VILAR","VILA NOVA DE GAIA","licenciado","CONSFLY","T0 / T1 / T2","2028","12","2028","","","Apartamentos T0/T1/T2
Podemos comercializar.","https://herdadevilar.com","41.08653343602931","-8.623769513683161","1","[]","","","",""
"cas53524---foz-nature","","CAS_53524 - FOZ NATURE","PORTO","em_construcao","INSPIRED ORBIT","T3 / T4 / T5","2027","5","2027","","","Apartamentos / Moradias T3/T4/T5
CONCLUSÃO MAIO 2027
Só está Internamente, não podemos exportar","https://foznature.pt","41.15107803555791","-8.668082879521076","1","[]","","","",""
"apa52854---the-breeze","","APA_52854 - THE BREEZE","VILA NOVA DE GAIA","em_construcao","CASTRO GROUP","T2 | T3","2026","3","2026","","","Apartamentos T3","https://www.thebreeze.pt","41.1238635424034","-8.665992065583229","1","[]","","","",""
